date	indexwig	indexaag	indexori
1996-06-01	99.43825951119135	99.03420268800818	99.33527146576769
1996-07-01	99.05939354522073	99.16895894817684	99.0293442863532
1996-08-01	98.99421943874447	98.96392309792022	99.49140070061776
1996-09-01	99.38518235816213	99.1365668981363	99.25574598891441
1996-10-01	98.88785841157332	98.98282636794389	98.68747981349425
1996-11-01	98.9632792852377	99.06144028804226	99.14337335162183
1996-12-01	98.95045970153433	99.34035143839132	98.96790356033296
1997-01-01	99.07812308096865	99.30572853834799	99.16956318078704
1997-02-01	99.4322866707083	99.19405854820823	99.5752299892637
1997-03-01	99.08669774352308	99.06854315805116	99.04784770105645
1997-04-01	99.01788459179244	98.93446705788337	99.06373590859634
1997-05-01	99.58643677411145	99.3545562184091	99.1798992108806
1997-06-01	99.20436867657152	99.1671047381745	99.38975895036855
1997-07-01	98.90645311562882	98.85617179778538	99.20029637728186
1997-08-01	99.19998149469018	99.00255951796858	98.7665812330666
1997-09-01	98.88698700671618	98.61191041747969	98.6568623032696
1997-10-01	100.34419906821614	99.53080946862967	99.59579101305931
1997-11-01	99.56057886992733	99.16077854816659	99.42644234309896
1997-12-01	99.82912983677728	99.74953809890341	99.85834231598146
1998-01-01	100.13270582015474	99.82979156900385	99.96205246214441
1998-02-01	99.58869100324519	99.46591497854845	99.79617678787038
1998-03-01	99.44962536096978	99.52916135862762	99.36220153567402
1998-04-01	99.30670133372602	99.13550960813497	99.14547206438363
1998-05-01	99.98746087468496	99.3691880984274	99.28369268089938
1998-06-01	99.09796835085551	99.1025418180937	99.30223422368125
1998-07-01	99.10056073050939	99.39847999846408	99.80273573011087
1998-08-01	100.05848475798186	100.77572620018768	100.51088350555825
1998-09-01	100.65312180704	100.50776679985233	101.45115255323192
1998-10-01	99.76923594738926	99.90212212909437	100.86573594810659
1998-11-01	99.67090355910015	99.76387112892135	100.09737498169434
1998-12-01	99.687442647791	99.39941797846524	100.03375389334435
1999-01-01	100.53218252706583	99.68285683881996	100.33672159832109
1999-02-01	98.93715168536856	99.22499229824695	99.64617388126705
1999-03-01	99.56635338734289	99.19225883820599	98.96434984680964
1999-04-01	99.06395045374899	98.82544534774692	99.03164126449005
1999-05-01	99.27647806104464	99.20253004821883	98.90947196888897
1999-06-01	99.23759080506137	99.08693915807417	99.15688944089699
1999-07-01	98.81232612384257	99.26247256829386	99.43978043982644
1999-08-01	99.0931565939555	98.9909902279541	99.20807615864518
1999-09-01	99.23680257315193	99.28123811831735	99.21960736113597
1999-10-01	99.02638739722676	99.03128917800454	98.92313889619079
1999-11-01	99.08355892029455	98.92197183786772	99.19081292611143
1999-12-01	99.12781048148534	99.06853890805115	99.26407499910349
2000-01-01	98.99361822484168	98.78605503769762	99.49972022553217
2000-02-01	98.89697987300431	98.88658694782343	99.11884906418508
2000-03-01	99.33010205601732	99.02050203799104	99.11722611416523
2000-04-01	99.52652005926724	99.24246944826882	99.05143266096475
2000-05-01	99.1849940632847	99.53337725863288	100.21045196395197
2000-06-01	99.15295826634713	99.3499186084033	100.00180022900516
2000-07-01	99.05979783573021	98.94067284789112	99.44291102584955
2000-08-01	99.02231279489459	98.71341697760673	98.76637255214864
2000-09-01	98.88587248921712	99.06688844804908	99.12337848187872
2000-10-01	99.26839128184965	98.92255606786846	99.5222640900583
2000-11-01	100.64864834062753	99.81335932898328	101.38159633382415
2000-12-01	99.75836543154372	99.9418542491441	100.97361580725743
2001-01-01	99.9178698271005	100.44094859976872	100.80700621567745
2001-02-01	99.56340836515751	100.82689470025173	100.46599367109016
2001-03-01	101.05405008376438	100.87251380030881	100.67926632838896
2001-04-01	99.89222510406387	100.8703415003061	100.95678258586777
2001-05-01	99.4290483306441	100.49464309983591	100.1932177447693
2001-06-01	99.191345634073	99.91340608910849	99.60875229384938
2001-07-01	99.67936254396527	99.66715823880033	100.2628985777072
2001-08-01	99.07279407985115	99.70764299885099	99.65601499157691
2001-09-01	102.29609835927903	101.3373201008905	103.97982498720735
2001-10-01	102.1518269410494	101.28465740082461	103.35890956190747
2001-11-01	99.85585435462609	100.28205049956985	101.5352948647175
2001-12-01	99.89546104314847	99.54221098864394	100.97996439575478
2002-01-01	100.13334902428355	99.14196687814305	100.9492674663145
2002-02-01	99.26274079710171	98.6847111675708	99.88052424349928
2002-03-01	99.0053913475123	98.74482107764601	99.70752644803548
2002-04-01	99.451366921744	98.64318201751882	99.91843740480653
2002-05-01	99.33474170682429	98.66288059754346	99.73500146914246
2002-06-01	99.7275352385955	98.91357134785721	100.03996949687227
2002-07-01	99.8342091467841	99.66886864880246	100.73501798832842
2002-08-01	99.92750173894575	99.59776830871348	100.64866909074792
2002-09-01	100.12781891151687	100.14174819939427	100.98335908752351
2002-10-01	100.52072037970241	99.85668334903751	100.47447668163292
2002-11-01	100.12104018169599	100.2796119995668	101.28499454400098
2002-12-01	100.07636850291053	100.55903929991649	101.24086838518463
2003-01-01	100.98148698951576	100.91518870036222	101.85471581452592
2003-02-01	100.93094550780185	100.80986990023041	101.27374065287218
2003-03-01	101.63406376744334	101.50667000110245	102.80681680925652
2003-04-01	101.4312095238827	101.2630728007976	101.63502612234038
2003-05-01	99.69028107940262	99.74375662889618	100.31202601329407
2003-06-01	99.9084495890613	99.67693046881256	100.02889211049576
2003-07-01	99.40097079081245	99.48785347857591	99.85953004867034
2003-08-01	99.13390972331544	99.7225197888696	99.56616222612891
2003-09-01	99.10628844497302	99.1807585381916	100.00106222105414
2003-10-01	98.89912309720721	99.4356658785106	99.24612192925535
2003-11-01	99.0149440916314	99.52132474861781	99.24880613887254
2003-12-01	99.3170578461382	99.76250595891965	99.53275021391515
2004-01-01	99.37987457825886	99.42669574849937	99.48238482870512
2004-02-01	98.94550011750528	99.21138188822992	99.49759417224446
2004-03-01	99.02798513609349	99.108373258101	99.38617213065504
2004-04-01	99.31364059541099	100.1731880994336	99.27393563822112
2004-05-01	99.74360016073406	100.06365469929654	99.7000920502197
2004-06-01	98.90161428041638	99.6367768987623	99.40917483294011
2004-07-01	99.18395822900916	99.74141178889325	99.49893534702856
2004-08-01	99.44940694719413	99.8883107690771	99.38907227489365
